StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:33:02.692,-0.31420898,-0.05908203,0.85839844
will-left,0,0,0,2016-03-18 15:33:02.742,-0.28100586,-0.20410156,0.92822266
will-left,0,0,0,2016-03-18 15:33:02.785,-0.35546875,-0.18237305,0.8815918
will-left,0,0,0,2016-03-18 15:33:02.787,-0.41503906,0.052001953,0.90771484
will-left,0,0,0,2016-03-18 15:33:02.842,-0.5214844,0.045654297,0.86938477
will-left,0,0,0,2016-03-18 15:33:02.856,-0.51342773,-0.13085938,0.8300781
will-left,0,0,0,2016-03-18 15:33:02.892,-0.3251953,-0.2626953,0.9626465
will-left,0,0,0,2016-03-18 15:33:02.942,-0.2241211,-0.099853516,1.0861816
will-left,0,0,0,2016-03-18 15:33:02.956,-0.23388672,-0.3076172,0.96069336
will-left,0,0,0,2016-03-18 15:33:02.992,-0.25268555,-0.20263672,0.8564453
will-left,0,0,0,2016-03-18 15:33:03.041,-0.4140625,0.013916016,0.7800293
will-left,0,0,0,2016-03-18 15:33:03.056,-0.46289063,0.107910156,0.89746094
will-left,0,0,0,2016-03-18 15:33:03.092,-0.46948242,-0.044677734,0.9489746
will-left,0,0,0,2016-03-18 15:33:03.118,-0.41870117,0.10644531,0.9592285
will-left,0,0,0,2016-03-18 15:33:03.152,-0.4350586,0.020507813,0.8347168
will-left,0,0,0,2016-03-18 15:33:03.196,-0.36254883,-0.118652344,0.9472656
will-left,0,0,0,2016-03-18 15:33:03.217,-0.34643555,0.04345703,0.98413086
will-left,0,0,0,2016-03-18 15:33:03.247,-0.41479492,0.09106445,0.9116211
will-left,0,0,0,2016-03-18 15:33:03.294,-0.39624023,0.084472656,0.9711914
will-left,0,0,0,2016-03-18 15:33:03.322,-0.3972168,0.17993164,0.9855957
will-left,0,0,0,2016-03-18 15:33:03.342,-0.38964844,-0.06323242,0.9399414
will-left,0,0,0,2016-03-18 15:33:03.392,-0.34155273,-0.013916016,0.94091797
will-left,0,0,0,2016-03-18 15:33:03.417,-0.3972168,0.14868164,0.9296875
will-left,0,0,0,2016-03-18 15:33:03.442,-0.41918945,0.0637207,0.9255371
will-left,0,0,0,2016-03-18 15:33:03.491,-0.39111328,0.12109375,0.9057617
will-left,0,0,0,2016-03-18 15:33:03.517,-0.41186523,0.05859375,0.82250977
will-left,0,0,0,2016-03-18 15:33:03.541,-0.36889648,0.03540039,0.904541
will-left,0,0,0,2016-03-18 15:33:03.591,-0.40405273,0.16186523,0.89404297
will-left,0,0,0,2016-03-18 15:33:03.617,-0.34643555,-0.007080078,0.986084
will-left,0,0,0,2016-03-18 15:33:03.660,-0.38183594,0.14501953,0.9147949
will-left,0,0,0,2016-03-18 15:33:03.700,-0.3623047,0.13208008,0.87646484
will-left,0,0,0,2016-03-18 15:33:03.710,-0.40795898,0.21289063,0.8605957
will-left,0,0,0,2016-03-18 15:33:03.742,-0.45751953,0.31469727,0.8491211
will-left,0,0,0,2016-03-18 15:33:03.767,-0.43798828,0.1616211,0.9206543
will-left,0,0,0,2016-03-18 15:33:03.817,-0.4020996,0.08178711,0.98291016
will-left,0,0,0,2016-03-18 15:33:03.847,-0.41235352,0.17358398,0.9030762
