StudyName,StudyId,DeviceId,SensorId,Time,Resistance
will-right,0,0,5,2016-03-18 15:39:49.094,2846.0
will-right,0,0,5,2016-03-18 15:39:54.069,2750.0
will-right,0,0,5,2016-03-18 15:39:59.068,2775.0
will-right,0,0,5,2016-03-18 15:40:04.043,2750.0
will-right,0,0,5,2016-03-18 15:40:09.018,2782.0
will-right,0,0,5,2016-03-18 15:40:13.984,2768.0
will-right,0,0,5,2016-03-18 15:40:18.971,2806.0
will-right,0,0,5,2016-03-18 15:40:23.968,2778.0
will-right,0,0,5,2016-03-18 15:40:28.933,2634.0
will-right,0,0,5,2016-03-18 15:40:33.908,2571.0
will-right,0,0,5,2016-03-18 15:40:38.898,2387.0
will-right,0,0,5,2016-03-18 15:40:43.870,2413.0
will-right,0,0,5,2016-03-18 15:40:48.860,2459.0
will-right,0,0,5,2016-03-18 15:40:53.843,2456.0
will-right,0,0,5,2016-03-18 15:40:58.808,2444.0
will-right,0,0,5,2016-03-18 15:41:03.797,2427.0
will-right,0,0,5,2016-03-18 15:41:08.790,2393.0
will-right,0,0,5,2016-03-18 15:41:13.765,2297.0
will-right,0,0,5,2016-03-18 15:41:18.741,2300.0
will-right,0,0,5,2016-03-18 15:41:23.723,2129.0
will-right,0,0,5,2016-03-18 15:41:28.702,2002.0
will-right,0,0,5,2016-03-18 15:41:33.691,1944.0
will-right,0,0,5,2016-03-18 15:41:38.660,1994.0
will-right,0,0,5,2016-03-18 15:41:43.646,2011.0
will-right,0,0,5,2016-03-18 15:41:48.619,2022.0
will-right,0,0,5,2016-03-18 15:41:53.619,2025.0
will-right,0,0,5,2016-03-18 15:41:58.578,1955.0
will-right,0,0,5,2016-03-18 15:42:03.558,2007.0
will-right,0,0,5,2016-03-18 15:42:08.543,2002.0
will-right,0,0,5,2016-03-18 15:42:13.520,1985.0
will-right,0,0,5,2016-03-18 15:42:18.517,1953.0
will-right,0,0,5,2016-03-18 15:42:23.483,1938.0
will-right,0,0,5,2016-03-18 15:42:28.468,1907.0
will-right,0,0,5,2016-03-18 15:42:33.440,1896.0
will-right,0,0,5,2016-03-18 15:42:38.446,1890.0
will-right,0,0,5,2016-03-18 15:42:43.418,1884.0
will-right,0,0,5,2016-03-18 15:42:48.396,1884.0
will-right,0,0,5,2016-03-18 15:42:53.370,1882.0
will-right,0,0,5,2016-03-18 15:42:58.340,1870.0
will-right,0,0,5,2016-03-18 15:43:03.332,1876.0
will-right,0,0,5,2016-03-18 15:43:08.324,1890.0
will-right,0,0,5,2016-03-18 15:43:13.287,1876.0
will-right,0,0,5,2016-03-18 15:43:18.258,1886.0
will-right,0,0,5,2016-03-18 15:43:23.258,1886.0
will-right,0,0,5,2016-03-18 15:43:28.236,1886.0
will-right,0,0,5,2016-03-18 15:43:33.208,1880.0
will-right,0,0,5,2016-03-18 15:43:38.192,1884.0
will-right,0,0,5,2016-03-18 15:43:43.170,1882.0
will-right,0,0,5,2016-03-18 15:43:48.170,1888.0
will-right,0,0,5,2016-03-18 15:43:53.141,1909.0
will-right,0,0,5,2016-03-18 15:43:58.115,1902.0
will-right,0,0,5,2016-03-18 15:44:03.089,1904.0
will-right,0,0,5,2016-03-18 15:44:08.068,1882.0
will-right,0,0,5,2016-03-18 15:44:13.070,1900.0
will-right,0,0,5,2016-03-18 15:44:18.043,1911.0
will-right,0,0,5,2016-03-18 15:44:23.023,1900.0
will-right,0,0,5,2016-03-18 15:44:27.992,1911.0
will-right,0,0,5,2016-03-18 15:44:32.993,1923.0
will-right,0,0,5,2016-03-18 15:44:37.957,1917.0
will-right,0,0,5,2016-03-18 15:44:42.932,1915.0
will-right,0,0,5,2016-03-18 15:44:47.920,1927.0
will-right,0,0,5,2016-03-18 15:44:52.908,1936.0
will-right,0,0,5,2016-03-18 15:44:57.883,1931.0
will-right,0,0,5,2016-03-18 15:45:02.847,1894.0
will-right,0,0,5,2016-03-18 15:45:07.835,1909.0
will-right,0,0,5,2016-03-18 15:45:12.807,1913.0
will-right,0,0,5,2016-03-18 15:45:17.792,1923.0
will-right,0,0,5,2016-03-18 15:45:22.789,1991.0
will-right,0,0,5,2016-03-18 15:45:27.769,1913.0
will-right,0,0,5,2016-03-18 15:45:32.740,1946.0
will-right,0,0,5,2016-03-18 15:45:37.718,1940.0
will-right,0,0,5,2016-03-18 15:45:42.718,1957.0
will-right,0,0,5,2016-03-18 15:45:47.692,1963.0
will-right,0,0,5,2016-03-18 15:45:52.658,1934.0
will-right,0,0,5,2016-03-18 15:45:57.642,1917.0
will-right,0,0,5,2016-03-18 15:46:02.612,1921.0
will-right,0,0,5,2016-03-18 15:46:07.608,1904.0
will-right,0,0,5,2016-03-18 15:46:12.582,1919.0
will-right,0,0,5,2016-03-18 15:46:17.557,1925.0
will-right,0,0,5,2016-03-18 15:46:22.543,1858.0
will-right,0,0,5,2016-03-18 15:46:27.543,1884.0
will-right,0,0,5,2016-03-18 15:46:32.501,1898.0
will-right,0,0,5,2016-03-18 15:46:37.503,1921.0
will-right,0,0,5,2016-03-18 15:46:42.474,1874.0
will-right,0,0,5,2016-03-18 15:46:47.439,1868.0
will-right,0,0,5,2016-03-18 15:46:52.448,1876.0
will-right,0,0,5,2016-03-18 15:46:57.421,1886.0
will-right,0,0,5,2016-03-18 15:47:02.393,1884.0
will-right,0,0,5,2016-03-18 15:47:07.367,1874.0
will-right,0,0,5,2016-03-18 15:47:12.367,1868.0
will-right,0,0,5,2016-03-18 15:47:17.331,1834.0
will-right,0,0,5,2016-03-18 15:47:22.310,1824.0
will-right,0,0,5,2016-03-18 15:47:27.290,1818.0
will-right,0,0,5,2016-03-18 15:47:32.275,1809.0
will-right,0,0,5,2016-03-18 15:47:37.257,1815.0
will-right,0,0,5,2016-03-18 15:47:42.240,1815.0
will-right,0,0,5,2016-03-18 15:47:47.207,1817.0
will-right,0,0,5,2016-03-18 15:47:52.192,1817.0
will-right,0,0,5,2016-03-18 15:47:57.167,1817.0
will-right,0,0,5,2016-03-18 15:48:02.158,1815.0
will-right,0,0,5,2016-03-18 15:48:07.139,1815.0
will-right,0,0,5,2016-03-18 15:48:12.118,1822.0
will-right,0,0,5,2016-03-18 15:48:17.089,1824.0
will-right,0,0,5,2016-03-18 15:48:22.096,1830.0
will-right,0,0,5,2016-03-18 15:48:27.068,1822.0
will-right,0,0,5,2016-03-18 15:48:32.042,1826.0
will-right,0,0,5,2016-03-18 15:48:37.014,1856.0
will-right,0,0,5,2016-03-18 15:48:41.989,1846.0
will-right,0,0,5,2016-03-18 15:48:46.991,1836.0
will-right,0,0,5,2016-03-18 15:48:51.943,1836.0
will-right,0,0,5,2016-03-18 15:48:56.934,1844.0
will-right,0,0,5,2016-03-18 15:49:01.920,1838.0
will-right,0,0,5,2016-03-18 15:49:06.910,1838.0
will-right,0,0,5,2016-03-18 15:49:11.881,1828.0
will-right,0,0,5,2016-03-18 15:49:16.851,1826.0
will-right,0,0,5,2016-03-18 15:49:21.840,1817.0
will-right,0,0,5,2016-03-18 15:49:26.808,1826.0
will-right,0,0,5,2016-03-18 15:49:31.820,1830.0
will-right,0,0,5,2016-03-18 15:49:36.800,1834.0
will-right,0,0,5,2016-03-18 15:49:41.766,1807.0
will-right,0,0,5,2016-03-18 15:49:46.741,1747.0
will-right,0,0,5,2016-03-18 15:49:51.741,1776.0
will-right,0,0,5,2016-03-18 15:49:56.719,1776.0
will-right,0,0,5,2016-03-18 15:50:01.693,1786.0
will-right,0,0,5,2016-03-18 15:50:06.660,1792.0
will-right,0,0,5,2016-03-18 15:50:11.648,1795.0
will-right,0,0,5,2016-03-18 15:50:16.631,1801.0
will-right,0,0,5,2016-03-18 15:50:21.618,1805.0
will-right,0,0,5,2016-03-18 15:50:26.581,1795.0
will-right,0,0,5,2016-03-18 15:50:31.565,1795.0
will-right,0,0,5,2016-03-18 15:50:36.544,1797.0
will-right,0,0,5,2016-03-18 15:50:41.532,1803.0
will-right,0,0,5,2016-03-18 15:50:46.507,1809.0
will-right,0,0,5,2016-03-18 15:50:51.481,1817.0
will-right,0,0,5,2016-03-18 15:50:56.475,1815.0
will-right,0,0,5,2016-03-18 15:51:01.470,1817.0
will-right,0,0,5,2016-03-18 15:51:06.439,1790.0
will-right,0,0,5,2016-03-18 15:51:11.430,1797.0
eli-right,0,0,5,2016-03-18 16:10:21.915,9502.0
eli-right,0,0,5,2016-03-18 16:10:26.886,11760.0
eli-right,0,0,5,2016-03-18 16:10:31.861,9343.0
eli-right,0,0,5,2016-03-18 16:10:36.854,14937.0
eli-right,0,0,5,2016-03-18 16:10:41.828,13075.0
eli-right,0,0,5,2016-03-18 16:10:46.804,12698.0
eli-right,0,0,5,2016-03-18 16:10:51.787,12170.0
eli-right,0,0,5,2016-03-18 16:10:56.765,11840.0
eli-right,0,0,5,2016-03-18 16:11:01.761,10538.0
eli-right,0,0,5,2016-03-18 16:11:06.737,10221.0
eli-right,0,0,5,2016-03-18 16:11:11.714,10070.0
eli-right,0,0,5,2016-03-18 16:11:16.687,9893.0
eli-right,0,0,5,2016-03-18 16:11:21.687,9722.0
eli-right,0,0,5,2016-03-18 16:11:26.661,9694.0
eli-right,0,0,5,2016-03-18 16:11:31.636,9556.0
eli-right,0,0,5,2016-03-18 16:11:36.614,9448.0
eli-right,0,0,5,2016-03-18 16:11:41.590,9369.0
eli-right,0,0,5,2016-03-18 16:11:46.589,9291.0
eli-right,0,0,5,2016-03-18 16:11:51.553,9113.0
eli-right,0,0,5,2016-03-18 16:11:56.536,9502.0
eli-right,0,0,5,2016-03-18 16:12:01.513,9502.0
eli-right,0,0,5,2016-03-18 16:12:06.495,9343.0
eli-right,0,0,5,2016-03-18 16:12:11.479,9163.0
eli-right,0,0,5,2016-03-18 16:12:16.454,9138.0
eli-right,0,0,5,2016-03-18 16:12:21.438,9422.0
eli-right,0,0,5,2016-03-18 16:12:26.430,9343.0
eli-right,0,0,5,2016-03-18 16:12:31.427,8917.0
eli-right,0,0,5,2016-03-18 16:12:36.387,8752.0
eli-right,0,0,5,2016-03-18 16:12:41.363,8799.0
eli-right,0,0,5,2016-03-18 16:12:46.337,9063.0
eli-right,0,0,5,2016-03-18 16:12:51.336,9063.0
eli-right,0,0,5,2016-03-18 16:12:56.316,9014.0
eli-right,0,0,5,2016-03-18 16:13:01.298,8941.0
eli-right,0,0,5,2016-03-18 16:13:06.254,10804.0
eli-right,0,0,5,2016-03-18 16:13:11.239,9014.0
eli-right,0,0,5,2016-03-18 16:13:16.231,8941.0
eli-right,0,0,5,2016-03-18 16:13:21.203,8846.0
eli-right,0,0,5,2016-03-18 16:13:26.178,8683.0
eli-right,0,0,5,2016-03-18 16:13:31.161,8637.0
eli-right,0,0,5,2016-03-18 16:13:36.140,8592.0
eli-right,0,0,5,2016-03-18 16:13:41.128,8525.0
eli-right,0,0,5,2016-03-18 16:13:46.104,8061.0
eli-right,0,0,5,2016-03-18 16:13:51.078,7846.0
eli-right,0,0,5,2016-03-18 16:13:56.083,7241.0
eli-right,0,0,5,2016-03-18 16:14:01.060,8061.0
eli-right,0,0,5,2016-03-18 16:14:06.037,7923.0
eli-right,0,0,5,2016-03-18 16:14:11.013,7480.0
eli-right,0,0,5,2016-03-18 16:14:15.985,7551.0
eli-right,0,0,5,2016-03-18 16:14:20.962,7497.0
eli-right,0,0,5,2016-03-18 16:14:25.962,7480.0
eli-right,0,0,5,2016-03-18 16:14:30.929,7480.0
eli-right,0,0,5,2016-03-18 16:14:35.917,7342.0
eli-right,0,0,5,2016-03-18 16:14:40.885,7224.0
eli-right,0,0,5,2016-03-18 16:14:45.879,7175.0
eli-right,0,0,5,2016-03-18 16:14:50.853,7159.0
eli-right,0,0,5,2016-03-18 16:14:55.828,7110.0
eli-right,0,0,5,2016-03-18 16:15:00.813,7078.0
eli-right,0,0,5,2016-03-18 16:15:05.787,7047.0
eli-right,0,0,5,2016-03-18 16:15:10.791,7031.0
eli-right,0,0,5,2016-03-18 16:15:15.754,6999.0
eli-right,0,0,5,2016-03-18 16:15:20.739,6953.0
eli-right,0,0,5,2016-03-18 16:15:25.710,7445.0
eli-right,0,0,5,2016-03-18 16:15:30.705,6999.0
eli-right,0,0,5,2016-03-18 16:15:35.686,6984.0
eli-right,0,0,5,2016-03-18 16:15:40.661,6892.0
eli-right,0,0,5,2016-03-18 16:15:45.637,6907.0
eli-right,0,0,5,2016-03-18 16:15:50.616,6876.0
eli-right,0,0,5,2016-03-18 16:15:55.603,6984.0
eli-right,0,0,5,2016-03-18 16:16:00.603,6892.0
eli-right,0,0,5,2016-03-18 16:16:05.549,6937.0
eli-right,0,0,5,2016-03-18 16:16:10.536,6713.0
eli-right,0,0,5,2016-03-18 16:16:15.512,7031.0
eli-right,0,0,5,2016-03-18 16:16:20.503,7015.0
eli-right,0,0,5,2016-03-18 16:16:25.478,6937.0
eli-right,0,0,5,2016-03-18 16:16:30.454,6876.0
eli-right,0,0,5,2016-03-18 16:16:35.435,6670.0
eli-right,0,0,5,2016-03-18 16:16:40.428,6627.0
eli-right,0,0,5,2016-03-18 16:16:45.399,6757.0
eli-right,0,0,5,2016-03-18 16:16:50.385,6772.0
eli-right,0,0,5,2016-03-18 16:16:55.366,6816.0
eli-right,0,0,5,2016-03-18 16:17:00.336,6757.0
eli-right,0,0,5,2016-03-18 16:17:05.357,6699.0
eli-right,0,0,5,2016-03-18 16:17:10.311,6757.0
eli-right,0,0,5,2016-03-18 16:17:15.287,6699.0
eli-right,0,0,5,2016-03-18 16:17:20.266,6670.0
eli-right,0,0,5,2016-03-18 16:17:25.260,6713.0
eli-right,0,0,5,2016-03-18 16:17:30.236,6641.0
eli-right,0,0,5,2016-03-18 16:17:35.203,6670.0
eli-right,0,0,5,2016-03-18 16:17:40.186,6613.0
eli-right,0,0,5,2016-03-18 16:17:45.159,6641.0
eli-right,0,0,5,2016-03-18 16:17:50.155,6474.0
eli-right,0,0,5,2016-03-18 16:17:55.128,6433.0
eli-right,0,0,5,2016-03-18 16:18:00.103,6393.0
eli-right,0,0,5,2016-03-18 16:18:05.086,6420.0
eli-right,0,0,5,2016-03-18 16:18:10.063,6380.0
eli-right,0,0,5,2016-03-18 16:18:15.065,6198.0
eli-right,0,0,5,2016-03-18 16:18:20.039,6420.0
eli-right,0,0,5,2016-03-18 16:18:25.016,6447.0
eli-right,0,0,5,2016-03-18 16:18:29.986,6406.0
eli-right,0,0,5,2016-03-18 16:18:34.986,6223.0
eli-right,0,0,5,2016-03-18 16:18:39.960,6223.0
eli-right,0,0,5,2016-03-18 16:18:44.935,6262.0
